Time,Temp,t24maxtemp,t24mintemp
201711072353,37,39,35
201711082353,37,48,31
201711092353,43,52,31
201711102353,20,43,20
201711112353,29,38,17
201711122353,39,48,37
201711132353,39,45,37
201711142353,33,45,30
201711152353,45,48,44
201711162353,38,45,36
201711172353,32,43,32
201711182353,59,54,36
201711192353,32,39,28
201711202353,35,43,34
201711212353,49,56,35
201711222353,29,36,23
201711232353,34,39,28
201711242353,45,54,43
201711252353,45,55,36
201711262353,35,43,32
