Time,Temp,t24maxtemp,t24mintemp
201711070050,37,,
201711070053,37,,
201711070055,37,,
201711070100,37,,
201711070105,37,,
201711070110,37,,
201711070115,37,,
201711070120,37,,
201711070125,37,,
201711070130,37,,
201711070135,37,,
201711070140,36,,
201711070145,37,,
201711070150,37,,
201711070153,37,,
201711070155,37,,
201711070200,36,,
201711070205,36,,
201711070210,36,,
201711070215,36,,
201711070220,36,,
201711070225,36,,
201711070230,36,,
201711070235,36,,
201711070240,36,,
201711070245,36,,
201711070250,36,,
201711070253,36,,
201711070255,36,,
201711070300,36,,
201711070305,36,,
201711070310,36,,
201711070315,36,,
201711070320,36,,
201711070325,36,,
201711070330,36,,
201711070335,36,,
201711070340,36,,
201711070345,36,,
201711070350,36,,
201711070353,36,,
201711070355,36,,
201711070400,36,,
201711070405,36,,
201711070410,36,,
201711070415,37,,
201711070420,37,,
201711070425,37,,
201711070430,37,,
201711070435,37,,
201711070440,37,,
201711070445,37,,
201711070450,37,,
201711070453,37,,
201711070455,37,,
201711070500,37,,
201711070505,37,,
201711070510,37,,
201711070515,37,,
201711070520,37,,
201711070525,37,,
201711070530,37,,
201711070535,37,,
201711070540,37,,
201711070545,37,,
201711070550,37,,
201711070553,37,,
201711070555,37,,
201711070600,37,,
201711070605,37,,
201711070610,37,,
201711070615,37,,
201711070620,37,,
201711070625,37,,
201711070630,37,,
201711070635,37,,
201711070640,37,,
201711070645,37,,
201711070650,37,,
201711070653,38,,
201711070655,37,,
201711070700,37,,
201711070705,37,,
201711070710,37,,
201711070715,37,,
201711070720,37,,
201711070725,37,,
201711070730,37,,
201711070735,37,,
201711070740,37,,
201711070745,37,,
201711070750,37,,
201711070753,37,,
201711070755,37,,
201711070800,37,,
201711070805,37,,
201711070810,37,,
201711070815,37,,
201711070820,37,,
201711070825,37,,
201711070830,37,,
201711070835,37,,
201711070840,37,,
201711070845,37,,
201711070850,37,,
201711070853,37,,
201711070855,37,,
201711070900,37,,
201711070905,37,,
201711070910,37,,
201711070915,37,,
201711070920,37,,
201711070925,37,,
201711070930,37,,
201711070935,37,,
201711070940,37,,
201711070945,37,,
201711070950,37,,
201711070953,37,,
201711070955,37,,
201711071000,37,,
201711071005,37,,
201711071010,37,,
201711071015,37,,
201711071020,37,,
201711071025,37,,
201711071030,37,,
201711071035,37,,
201711071040,37,,
201711071045,37,,
201711071050,37,,
201711071053,37,,
201711071055,37,,
201711071100,37,,
201711071105,37,,
201711071110,37,,
201711071115,37,,
201711071120,37,,
201711071125,37,,
201711071130,37,,
201711071135,37,,
201711071140,37,,
201711071145,37,,
201711071150,37,,
201711071153,37,,
201711071155,37,,
201711071200,37,,
201711071205,37,,
201711071210,37,,
201711071215,37,,
201711071220,37,,
201711071225,37,,
201711071230,37,,
201711071235,37,,
201711071240,37,,
201711071245,39,,
201711071250,37,,
201711071253,38,,
201711071255,37,,
201711071300,37,,
201711071305,37,,
201711071310,37,,
201711071315,37,,
201711071318,37,,
201711071320,37,,
201711071325,37,,
201711071330,37,,
201711071335,37,,
201711071340,37,,
201711071345,37,,
201711071350,37,,
201711071353,37,,
201711071355,37,,
201711071400,37,,
201711071405,37,,
201711071410,37,,
201711071415,37,,
201711071420,37,,
201711071425,37,,
201711071430,37,,
201711071435,37,,
201711071440,37,,
201711071445,37,,
201711071450,37,,
201711071453,37,,
201711071455,37,,
201711071500,37,,
201711071505,37,,
201711071510,37,,
201711071515,37,,
201711071520,37,,
201711071525,37,,
201711071530,37,,
201711071535,37,,
201711071540,37,,
201711071545,37,,
201711071550,37,,
201711071553,37,,
201711071555,37,,
201711071600,37,,
201711071605,37,,
201711071610,37,,
201711071615,37,,
201711071620,37,,
201711071625,37,,
201711071626,37,,
201711071630,37,,
201711071635,37,,
201711071640,37,,
201711071645,37,,
201711071647,37,,
201711071650,37,,
201711071653,37,,
201711071655,37,,
201711071700,37,,
201711071705,37,,
201711071710,37,,
201711071715,37,,
201711071720,37,,
201711071725,37,,
201711071730,37,,
201711071735,37,,
201711071740,37,,
201711071745,37,,
201711071750,37,,
201711071753,37,,
201711071755,37,,
201711071800,37,,
201711071805,37,,
201711071810,37,,
201711071815,37,,
201711071820,37,,
201711071825,37,,
201711071830,37,,
201711071835,37,,
201711071840,37,,
